Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s)
7.33E-08,-0.018415,7.58E-06
7.29E-08,-0.0064954,7.14E-06
7.30E-08,0.0051028,8.22E-06
7.31E-08,0.016591,7.49E-06
7.32E-08,0.027873,6.88E-06
7.31E-08,0.038737,5.43E-06
7.30E-08,0.049463,5.94E-06
7.35E-08,0.060088,4.81E-06
7.42E-08,0.070496,4.92E-06
7.41E-08,0.080895,4.18E-06
7.40E-08,0.091088,5.59E-06
7.38E-08,0.10024,3.56E-06
7.41E-08,0.10436,3.26E-06
7.40E-08,0.1015,2.91E-06
7.45E-08,0.091826,2.82E-06
7.52E-08,0.078661,2.82E-06
7.47E-08,0.066946,2.81E-06
7.53E-08,0.055786,3.49E-06
7.49E-08,0.044799,3.56E-06
7.42E-08,0.033836,3.39E-06
7.44E-08,0.023158,1.60E-06
7.40E-08,0.012865,2.20E-06
7.27E-08,0.0031231,3.59E-06
7.36E-08,-0.0045897,2.96E-06
7.36E-08,-0.0069981,2.98E-06
7.38E-08,-0.0047465,1.88E-06
7.52E-08,0.002381,2.03E-06
7.51E-08,0.013941,4.09E-06
7.67E-08,0.026071,3.57E-06
7.63E-08,0.037345,3.18E-06
7.55E-08,0.047974,1.48E-06
7.48E-08,0.058323,-2.73E-07
7.40E-08,0.066991,-2.54E-06
7.39E-08,0.070325,-4.80E-06
7.39E-08,0.068243,-7.47E-06
7.36E-08,0.063228,-7.63E-06
7.30E-08,0.056837,-8.42E-06
7.21E-08,0.049423,-1.04E-05
7.21E-08,0.041083,-9.24E-06
7.24E-08,0.03169,-1.25E-05
7.38E-08,0.022162,-1.28E-05
7.49E-08,0.014709,-1.25E-05
7.49E-08,0.01021,-1.53E-05
7.52E-08,0.0080215,-1.30E-05
7.52E-08,0.0080756,-1.07E-05
7.48E-08,0.011114,-1.01E-05
7.40E-08,0.017313,-7.47E-06
7.57E-08,0.025224,-7.80E-06
7.52E-08,0.033324,-8.82E-06
7.64E-08,0.039858,-9.05E-06
7.59E-08,0.04537,-5.23E-06
7.60E-08,0.050625,-8.85E-06
7.63E-08,0.053349,-9.60E-06
7.62E-08,0.051711,-1.15E-05
7.51E-08,0.046682,-9.94E-06
7.59E-08,0.039227,-1.27E-05
7.67E-08,0.030043,-1.49E-05
7.72E-08,0.02114,-1.74E-05
7.63E-08,0.014065,-1.94E-05
7.63E-08,0.008689,-1.90E-05
7.71E-08,0.0052958,-1.90E-05
7.72E-08,0.0051193,-1.79E-05
7.74E-08,0.0084999,-1.75E-05
7.65E-08,0.013982,-1.81E-05
7.65E-08,0.020959,-1.78E-05
7.79E-08,0.028572,-1.83E-05
7.93E-08,0.034762,-1.78E-05
7.91E-08,0.037904,-1.80E-05
7.91E-08,0.038327,-1.69E-05
7.90E-08,0.037111,-1.69E-05
7.89E-08,0.034495,-1.96E-05
7.90E-08,0.031257,-1.70E-05
7.96E-08,0.028062,-1.81E-05
7.94E-08,0.024233,-2.07E-05
7.91E-08,0.019343,-1.92E-05
7.96E-08,0.015088,-1.83E-05
8.03E-08,0.012099,-1.89E-05
8.04E-08,0.010338,-1.51E-05
8.04E-08,0.010552,-1.36E-05
8.01E-08,0.01204,-1.42E-05
8.00E-08,0.014451,-1.24E-05
7.94E-08,0.017717,-1.13E-05
7.95E-08,0.020595,-8.14E-06
7.89E-08,0.023405,-7.37E-06
7.87E-08,0.025659,-4.12E-06
7.88E-08,0.026478,-4.09E-06
7.89E-08,0.026148,-4.22E-06
7.90E-08,0.025148,-4.58E-06
7.87E-08,0.023532,-3.56E-06
7.84E-08,0.02103,-4.11E-06
7.88E-08,0.017082,-2.11E-06
7.91E-08,0.012611,-9.96E-07
7.91E-08,0.0087571,-3.40E-06
7.98E-08,0.0054081,-2.89E-06
7.99E-08,0.0030728,-2.11E-06
7.98E-08,0.0021775,-4.44E-06
7.98E-08,0.0026077,-6.93E-06
8.00E-08,0.0042885,-6.68E-06
8.01E-08,0.0066227,-1.08E-05
7.99E-08,0.0092616,-1.05E-05
7.99E-08,0.012155,-9.43E-06
8.03E-08,0.015197,-8.52E-06
7.99E-08,0.018069,-8.64E-06
8.00E-08,0.01971,-8.06E-06
8.00E-08,0.020026,-1.02E-05
8.00E-08,0.019888,-8.93E-06
8.01E-08,0.018822,-1.03E-05
8.01E-08,0.016391,-1.32E-05
8.08E-08,0.012926,-1.28E-05
8.09E-08,0.0094594,-1.16E-05
8.02E-08,0.0061552,-1.10E-05
8.06E-08,0.0023659,-1.32E-05
8.09E-08,-0.0014158,-1.20E-05
8.09E-08,-0.0042849,-1.36E-05
8.08E-08,-0.0054284,-1.45E-05
8.08E-08,-0.0050223,-1.67E-05
8.12E-08,-0.0031054,-1.65E-05
8.14E-08,-6.28E-04,-1.65E-05
8.14E-08,0.0018914,-1.54E-05
8.19E-08,0.0045098,-1.44E-05
8.19E-08,0.0064943,-1.50E-05
8.19E-08,0.0077717,-1.30E-05
8.17E-08,0.0085386,-1.09E-05
8.18E-08,0.0091243,-8.42E-06
8.17E-08,0.0092261,-7.84E-06
8.16E-08,0.0086114,-7.76E-06
8.18E-08,0.006769,-8.12E-06
8.14E-08,0.0046027,-8.55E-06
8.15E-08,0.002887,-7.80E-06
8.14E-08,0.0012339,-6.39E-06
8.17E-08,-4.95E-04,-7.35E-06
8.18E-08,-0.0021771,-7.64E-06
8.19E-08,-0.004485,-8.71E-06
8.18E-08,-0.0073076,-1.06E-05
8.17E-08,-0.0094021,-1.25E-05
8.17E-08,-0.010424,-1.38E-05
8.17E-08,-0.010759,-1.46E-05
8.16E-08,-0.010018,-1.22E-05
8.18E-08,-0.0083304,-1.11E-05
8.18E-08,-0.005815,-1.11E-05
8.18E-08,-0.0032496,-9.11E-06
8.15E-08,-8.72E-04,-9.54E-06
8.12E-08,0.0015715,-9.77E-06
8.09E-08,0.0037945,-9.75E-06
8.07E-08,0.005414,-1.03E-05
8.06E-08,0.0061713,-9.40E-06
8.06E-08,0.0062069,-9.90E-06
8.06E-08,0.0052617,-1.03E-05
8.03E-08,0.0032674,-1.07E-05
8.03E-08,6.50E-04,-8.93E-06
8.03E-08,-0.0018591,-8.14E-06
8.03E-08,-0.0045025,-6.79E-06
8.05E-08,-0.0070732,-6.73E-06
8.09E-08,-0.0091584,-5.34E-06
8.07E-08,-0.010892,-6.48E-06
8.07E-08,-0.012011,-6.67E-06
8.08E-08,-0.012614,-8.38E-06
8.08E-08,-0.012571,-9.28E-06
8.07E-08,-0.012058,-8.76E-06
8.09E-08,-0.010933,-9.04E-06
8.09E-08,-0.0093889,-9.75E-06
8.07E-08,-0.0076004,-9.15E-06
8.08E-08,-0.0057459,-7.61E-06
8.10E-08,-0.0035562,-8.06E-06
8.11E-08,-0.0017677,-9.64E-06
8.11E-08,-0.0010444,-8.75E-06
8.11E-08,-8.84E-04,-9.77E-06
8.11E-08,-7.19E-04,-7.64E-06
8.10E-08,-0.0011776,-8.22E-06
8.11E-08,-0.0018984,-9.69E-06
8.10E-08,-0.0022278,-9.30E-06
8.11E-08,-0.0024457,-8.93E-06
8.11E-08,-0.0024981,-9.73E-06
